1 Title,2 Description,3 Language (BCP47),4 URL,Youtube,5 Cover Image,Embed,6 License,7 Publisher,8 Source,additionalInformation,test,staging,prod
Kariza Akunda Kubaza,,xki,https://gdl.h5p.com/content/1290958737398455197,https://youtu.be/J4acW157ucU,"https://res.cloudinary.com/dwqxoowxi/ar_0.81,c_fill/f_auto,q_auto,dpr_auto,c_scale,w_auto/35f159eb68f212f3233779bba23e6dc4","<iframe src=""https://gdl.h5p.com/content/1290958737398455197/embed"" width=""1088"" height=""637"" frameborder=""0"" allowfullscreen=""allowfullscreen"" allow=""geolocation *; microphone *; camera *; midi *; encrypted-media *""></iframe><script src=""https://gdl.h5p.com/js/h5p-resizer.js"" charset=""UTF-8""></script>",CC-BY-4.0,eKitabu,African Storybook,,,,
Atieno's friend,,xki,https://gdl.h5p.com/content/1290958739770266837,https://youtu.be/dcK_Pw67r2M,"https://res.cloudinary.com/dwqxoowxi/f_auto,q_auto/c8bab0db7a3f7e339245d2d25d30d00c","<iframe src=""https://gdl.h5p.com/content/1290958739770266837/embed"" width=""1088"" height=""637"" frameborder=""0"" allowfullscreen=""allowfullscreen"" allow=""geolocation *; microphone *; camera *; midi *; encrypted-media *""></iframe><script src=""https://gdl.h5p.com/js/h5p-resizer.js"" charset=""UTF-8""></script>",CC-BY-4.0,eKitabu,African Storybook,,,,
Inzoka,,xki,https://gdl.h5p.com/content/1290958742764967827,https://youtu.be/EbE27TS2Mn4,"https://res.cloudinary.com/dwqxoowxi/f_auto,q_auto/18002f233990222ce7a6aa7c4bec3f3b","<iframe src=""https://gdl.h5p.com/content/1290958742764967827/embed"" width=""1088"" height=""637"" frameborder=""0"" allowfullscreen=""allowfullscreen"" allow=""geolocation *; microphone *; camera *; midi *; encrypted-media *""></iframe><script src=""https://gdl.h5p.com/js/h5p-resizer.js"" charset=""UTF-8""></script>",CC-BY-4.0,eKitabu,African Storybook,,,,
Akai's special mat,,xki,https://gdl.h5p.com/content/1290958744237881627,https://youtu.be/NLu6XcWjp2M,"https://res.cloudinary.com/dwqxoowxi/ar_0.81,c_fill/f_auto,q_auto,dpr_auto,c_scale,w_auto/548cd1f0e53925630cb6f9068c9d7155","<iframe src=""https://gdl.h5p.com/content/1290958744237881627/embed"" width=""1088"" height=""637"" frameborder=""0"" allowfullscreen=""allowfullscreen"" allow=""geolocation *; microphone *; camera *; midi *; encrypted-media *""></iframe><script src=""https://gdl.h5p.com/js/h5p-resizer.js"" charset=""UTF-8""></script>",CC-BY-4.0,eKitabu,African Storybook,,,,
Pretty golden pen,,xki,https://gdl.h5p.com/content/1290958744700796287,https://youtu.be/3_Jmjtcwtdc,"https://res.cloudinary.com/dwqxoowxi/f_auto,q_auto/7403c5412b8f06fec9f8956db8a799e0","<iframe src=""https://gdl.h5p.com/content/1290958744700796287/embed"" width=""1088"" height=""637"" frameborder=""0"" allowfullscreen=""allowfullscreen"" allow=""geolocation *; microphone *; camera *; midi *; encrypted-media *""></iframe><script src=""https://gdl.h5p.com/js/h5p-resizer.js"" charset=""UTF-8""></script>",CC-BY-4.0,eKitabu,African Storybook,,,,
Moon and the cap,,xki,https://gdl.h5p.com/content/1290958746262686707,https://youtu.be/S-OPj3pLfK0,"https://res.cloudinary.com/dwqxoowxi/f_auto,q_auto/826dde18ffd852843f541f411167a278","<iframe src=""https://gdl.h5p.com/content/1290958746262686707/embed"" width=""1088"" height=""637"" frameborder=""0"" allowfullscreen=""allowfullscreen"" allow=""geolocation *; microphone *; camera *; midi *; encrypted-media *""></iframe><script src=""https://gdl.h5p.com/js/h5p-resizer.js"" charset=""UTF-8""></script>",CC-BY-4.0,eKitabu,African Storybook,,,,
Bad King,,xki,https://gdl.h5p.com/content/1290958747086148177,https://youtu.be/Ibk_8BuvhZY,"https://res.cloudinary.com/dwqxoowxi/ar_0.81,c_fill/f_auto,q_auto,dpr_auto,c_scale,w_auto/c7b42f14c72ad4a3b3488c4377b70d94","<iframe src=""https://gdl.h5p.com/content/1290958747086148177/embed"" width=""1088"" height=""637"" frameborder=""0"" allowfullscreen=""allowfullscreen"" allow=""geolocation *; microphone *; camera *; midi *; encrypted-media *""></iframe><script src=""https://gdl.h5p.com/js/h5p-resizer.js"" charset=""UTF-8""></script>",CC-BY-4.0,eKitabu,African Storybook,,,,
Whoever doesn't obey elders ,,xki,https://gdl.h5p.com/content/1290958749099310807,https://youtu.be/2peQuCOd6CY,"https://res.cloudinary.com/dwqxoowxi/f_auto,q_auto/f6d73349a1c0f054a0118650018dc837","<iframe src=""https://gdl.h5p.com/content/1290958749099310807/embed"" width=""1088"" height=""637"" frameborder=""0"" allowfullscreen=""allowfullscreen"" allow=""geolocation *; microphone *; camera *; midi *; encrypted-media *""></iframe><script src=""https://gdl.h5p.com/js/h5p-resizer.js"" charset=""UTF-8""></script>",CC-BY-4.0,eKitabu,African Storybook,,,,
Letters,,xki,https://gdl.h5p.com/content/1290958750542000397,https://youtu.be/KJzHlDg426M,"https://res.cloudinary.com/dwqxoowxi/f_auto,q_auto/d43be9dd12e9822872b03ea96476b0d2","<iframe src=""https://gdl.h5p.com/content/1290958750542000397/embed"" width=""1088"" height=""637"" frameborder=""0"" allowfullscreen=""allowfullscreen"" allow=""geolocation *; microphone *; camera *; midi *; encrypted-media *""></iframe><script src=""https://gdl.h5p.com/js/h5p-resizer.js"" charset=""UTF-8""></script>",CC-BY-4.0,eKitabu,African Storybook,,,,
"Sun, moon and water",,xki,https://gdl.h5p.com/content/1290958750814321327,https://youtu.be/vp_wbgtng3M,"https://res.cloudinary.com/dwqxoowxi/f_auto,q_auto/1c775a7c498b4048b7db3c12cffb0972","<iframe src=""https://gdl.h5p.com/content/1290958750814321327/embed"" width=""1088"" height=""637"" frameborder=""0"" allowfullscreen=""allowfullscreen"" allow=""geolocation *; microphone *; camera *; midi *; encrypted-media *""></iframe><script src=""https://gdl.h5p.com/js/h5p-resizer.js"" charset=""UTF-8""></script>",CC-BY-4.0,eKitabu,African Storybook,,,,
Elephant and Hippo,,xki,https://gdl.h5p.com/content/1290958752568920337,https://youtu.be/sRFLv9gSX24,"https://res.cloudinary.com/dwqxoowxi/f_auto,q_auto/39e1790e61886ab3f0b124f499d69831","<iframe src=""https://gdl.h5p.com/content/1290958752568920337/embed"" width=""1088"" height=""637"" frameborder=""0"" allowfullscreen=""allowfullscreen"" allow=""geolocation *; microphone *; camera *; midi *; encrypted-media *""></iframe><script src=""https://gdl.h5p.com/js/h5p-resizer.js"" charset=""UTF-8""></script>",CC-BY-4.0,eKitabu,African Storybook,,,,
Anansi and Vulture,,xki,https://gdl.h5p.com/content/1290958770275819647,https://youtu.be/hugDCGu1MnY,"https://res.cloudinary.com/dwqxoowxi/f_auto,q_auto/c538f5bec471c5fd5f145bc0b55e466d","<iframe src=""https://gdl.h5p.com/content/1290958770275819647/embed"" width=""1088"" height=""637"" frameborder=""0"" allowfullscreen=""allowfullscreen"" allow=""geolocation *; microphone *; camera *; midi *; encrypted-media *""></iframe><script src=""https://gdl.h5p.com/js/h5p-resizer.js"" charset=""UTF-8""></script>",CC-BY-4.0,eKitabu,African Storybook,,,,
Where is my cat,,xki,https://gdl.h5p.com/content/1290958770714933197,https://youtu.be/QpNJtV-CQKE,"https://res.cloudinary.com/dwqxoowxi/f_auto,q_auto/08903ac71cf031f1e686d77982213284","<iframe src=""https://gdl.h5p.com/content/1290958770714933197/embed"" width=""1088"" height=""637"" frameborder=""0"" allowfullscreen=""allowfullscreen"" allow=""geolocation *; microphone *; camera *; midi *; encrypted-media *""></iframe><script src=""https://gdl.h5p.com/js/h5p-resizer.js"" charset=""UTF-8""></script>",CC-BY-4.0,eKitabu,African Storybook,,,,